fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-25 06:20:15,Sin sesión,,,,13,AGUA-02,,0.0,14.25,12.46,0.0,0.0,8.0
2025-10-25 07:21:09,Sin sesión,,,,13,AGUA-02,,0.0,13.75,12.43,0.0,0.0,9.0
2025-10-25 08:22:08,Sin sesión,,,,13,AGUA-02,,0.0,15.25,12.39,0.0,0.0,8.0
2025-10-25 09:23:17,Sin sesión,,,,13,AGUA-02,,0.0,18.0,12.37,0.0,0.0,8.0
2025-10-25 10:24:25,Sin sesión,,,,13,AGUA-02,,0.0,20.25,12.57,0.0,0.0,7.0
2025-10-25 11:25:30,Sin sesión,,,,13,AGUA-02,,0.0,22.5,12.17,0.0,0.0,7.0
2025-10-25 12:26:35,Sin sesión,,,,13,AGUA-02,,0.0,24.5,12.59,0.0,0.0,10.0
2025-10-25 13:27:46,Sin sesión,,,,13,AGUA-02,,0.0,29.25,12.35,0.0,0.0,8.0
2025-10-25 14:28:53,Sin sesión,,,,13,AGUA-02,,0.0,32.0,12.31,0.0,0.0,8.0
2025-10-25 15:30:02,Sin sesión,,,,13,AGUA-02,,0.0,35.75,12.34,0.0,0.0,10.0
2025-10-25 16:31:07,Sin sesión,,,,13,AGUA-02,,0.0,38.25,12.42,0.0,0.0,8.0
2025-10-25 17:32:10,Sin sesión,,,,13,AGUA-02,,0.0,39.5,12.51,0.0,0.0,8.0
2025-10-25 18:33:02,Sin sesión,,,,13,AGUA-02,,0.0,36.75,12.35,0.0,0.0,9.0
2025-10-25 19:33:44,Sin sesión,,,,13,AGUA-02,,0.0,33.5,12.51,0.0,0.0,7.0
2025-10-25 20:34:24,Sin sesión,,,,13,AGUA-02,,0.0,26.75,12.42,0.0,0.0,8.0
2025-10-25 21:35:04,Sin sesión,,,,13,AGUA-02,,0.0,23.25,12.54,0.0,0.0,8.0
2025-10-25 23:36:43,Sin sesión,,,,13,AGUA-02,,0.0,20.0,12.47,0.0,0.0,8.0
2025-10-26 00:37:30,Sin sesión,,,,13,AGUA-02,,0.0,18.5,12.29,0.0,0.0,8.0
