fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-27 08:07:54,Sin sesión,,,,13,AGUA-02,,0.0,19.25,12.29,0.0,0.0,8.0
2025-10-27 09:09:04,Sin sesión,,,,13,AGUA-02,,0.0,21.5,11.81,0.0,0.0,8.0
2025-10-27 10:10:13,Sin sesión,,,,13,AGUA-02,,0.0,24.25,12.2,0.0,0.0,7.0
2025-10-27 11:11:23,Sin sesión,,,,13,AGUA-02,,0.0,26.75,12.39,0.0,0.0,7.0
2025-10-27 12:12:27,Sin sesión,,,,13,AGUA-02,,0.0,28.75,12.3,0.0,0.0,7.0
2025-10-27 13:13:33,Sin sesión,,,,13,AGUA-02,,0.0,31.25,12.47,0.0,0.0,9.0
2025-10-27 14:14:26,Sin sesión,,,,13,AGUA-02,,0.0,30.25,12.32,0.0,0.0,8.0
2025-10-27 15:15:34,Sin sesión,,,,13,AGUA-02,,0.0,35.75,12.47,0.0,0.0,6.0
2025-10-27 17:17:59,Sin sesión,,,,13,AGUA-02,,0.0,34.5,12.31,0.0,0.0,10.0
2025-10-27 18:18:32,Sin sesión,,,,13,AGUA-02,,0.0,31.5,12.47,0.0,0.0,9.0
2025-10-27 19:19:17,Sin sesión,,,,13,AGUA-02,,0.0,28.25,12.36,0.0,0.0,8.0
2025-10-27 20:20:08,Sin sesión,,,,13,AGUA-02,,0.0,26.5,12.35,0.0,0.0,8.0
2025-10-27 21:20:51,Sin sesión,,,,13,AGUA-02,,0.0,24.75,12.48,0.0,0.0,7.0
2025-10-27 22:21:40,Sin sesión,,,,13,AGUA-02,,0.0,23.25,12.57,0.0,0.0,7.0
2025-10-27 23:22:29,Sin sesión,,,,13,AGUA-02,,0.0,21.25,12.31,0.0,0.0,7.0
2025-10-28 00:23:17,Sin sesión,,,,13,AGUA-02,,0.0,19.75,12.24,0.0,0.0,8.0
2025-10-28 01:24:08,Sin sesión,,,,13,AGUA-02,,0.0,18.5,12.27,0.0,0.0,8.0
2025-10-28 02:25:00,Sin sesión,,,,13,AGUA-02,,0.0,17.5,12.42,0.0,0.0,8.0
2025-10-28 03:25:49,Sin sesión,,,,13,AGUA-02,,0.0,16.75,12.5,0.0,0.0,9.0
2025-10-28 04:26:44,Sin sesión,,,,13,AGUA-02,,0.0,16.25,12.23,0.0,0.0,9.0
2025-10-28 05:27:39,Sin sesión,,,,13,AGUA-02,,0.0,15.75,12.24,0.0,0.0,9.0
2025-10-28 06:28:36,Sin sesión,,,,13,AGUA-02,,0.0,15.25,11.81,0.0,0.0,9.0
2025-10-28 07:29:31,Sin sesión,,,,13,AGUA-02,,0.0,15.0,12.39,0.0,0.0,9.0
2025-10-28 08:30:30,Sin sesión,,,,13,AGUA-02,,0.0,17.0,12.24,0.0,0.0,8.0
2025-10-28 09:31:46,Sin sesión,,,,13,AGUA-02,,0.0,20.75,12.41,0.0,0.0,7.0
2025-10-28 10:32:55,Sin sesión,,,,13,AGUA-02,,0.0,23.75,12.57,0.0,0.0,7.0
2025-10-28 11:34:35,Sin sesión,,,,13,AGUA-02,,0.0,26.75,12.45,0.0,0.0,8.0
2025-10-28 12:35:39,Sin sesión,,,,13,AGUA-02,,0.0,29.5,12.57,0.0,0.0,8.0
2025-10-28 13:36:53,Sin sesión,,,,13,AGUA-02,,0.0,34.25,12.4,0.0,0.0,6.0
2025-10-28 14:37:51,Sin sesión,,,,13,AGUA-02,,0.0,35.75,12.49,0.0,0.0,8.0
2025-10-28 15:38:55,Sin sesión,,,,13,AGUA-02,,0.0,37.75,12.3,0.0,0.0,9.0
2025-10-28 16:40:46,Sin sesión,,,,13,AGUA-02,,0.0,38.75,12.52,0.0,0.0,9.0
2025-10-28 17:42:29,Sin sesión,,,,13,AGUA-02,,0.0,38.5,12.39,0.0,0.0,9.0
