fecha,fecha_insercion,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,DS18B20 [Grados celcius (°C)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],ENV-20-EC-K1.0 [Electroconductividad ambiental (µS/cm)],ENV-20-pH [pH ambiental (pH)],SIM7600G [Intensidad señal telefónica (Adimensional)]
1999-12-31 21:10:23,2025-10-25T01:37:16,Sin sesión,,,,13,AGUA-01,,0.0,19.25,12.24,0.0,0.0,24.0
1999-12-31 21:10:23,2025-10-25T04:39:44,Sin sesión,,,,13,AGUA-01,,0.0,17.75,12.24,0.0,0.0,24.0
1999-12-31 21:10:23,2025-10-25T09:44:47,Sin sesión,,,,13,AGUA-01,,17.38,27.0,12.16,1637.0,9.13,23.0
1999-12-31 21:10:23,2025-10-25T10:45:41,Sin sesión,,,,13,AGUA-01,,18.62,29.75,12.19,1666.0,9.2,24.0
1999-12-31 21:10:23,2025-10-25T12:47:35,Sin sesión,,,,13,AGUA-01,,19.19,31.0,12.25,1680.0,8.32,26.0
1999-12-31 21:10:23,2025-10-25T13:48:27,Sin sesión,,,,13,AGUA-01,,20.0,31.5,12.26,1716.0,8.18,25.0
1999-12-31 21:10:23,2025-10-25T14:49:17,Sin sesión,,,,13,AGUA-01,,19.88,32.5,12.22,1699.0,7.92,22.0
1999-12-31 21:10:23,2025-10-25T15:50:09,Sin sesión,,,,13,AGUA-01,,19.56,33.25,12.19,1677.0,8.07,26.0
1999-12-31 21:10:23,2025-10-25T16:51:04,Sin sesión,,,,13,AGUA-01,,19.12,34.25,12.2,1670.0,8.23,23.0
1999-12-31 21:10:23,2025-10-25T17:51:55,Sin sesión,,,,13,AGUA-01,,19.06,35.75,12.27,1670.0,8.31,23.0
1999-12-31 21:10:23,2025-10-25T18:53:03,Sin sesión,,,,13,AGUA-01,,19.31,32.75,12.25,1675.0,9.03,24.0
1999-12-31 21:10:23,2025-10-25T19:53:38,Sin sesión,,,,13,AGUA-01,,19.0,31.5,12.27,1660.0,9.19,24.0
1999-12-31 21:10:23,2025-10-25T20:53:55,Sin sesión,,,,13,AGUA-01,,20.56,26.0,12.24,1690.0,9.9,23.0
1999-12-31 21:10:23,2025-10-25T23:56:18,Sin sesión,,,,13,AGUA-01,,19.06,23.0,12.21,1654.0,9.62,24.0
1999-12-31 21:10:23,2025-10-26T00:56:57,Sin sesión,,,,13,AGUA-01,,18.5,22.5,12.21,1644.0,9.44,24.0
1999-12-31 21:10:23,2025-10-26T09:03:37,Sin sesión,,,,13,AGUA-01,,17.62,27.25,12.21,1645.0,9.09,21.0
1999-12-31 21:10:23,2025-10-26T10:04:48,Sin sesión,,,,13,AGUA-01,,18.06,31.5,12.25,1647.0,9.16,22.0
1999-12-31 21:10:23,2025-10-26T11:05:47,Sin sesión,,,,13,AGUA-01,,20.12,34.25,12.2,1692.0,8.89,22.0
1999-12-31 21:10:23,2025-10-26T12:06:44,Sin sesión,,,,13,AGUA-01,,21.38,35.25,12.2,1766.0,8.59,24.0
1999-12-31 21:10:23,2025-10-26T13:07:34,Sin sesión,,,,13,AGUA-01,,19.94,36.0,12.27,1722.0,7.7,23.0
1999-12-31 21:10:23,2025-10-26T14:08:28,Sin sesión,,,,13,AGUA-01,,20.56,36.0,12.3,1749.0,7.79,21.0
1999-12-31 21:10:23,2025-10-26T15:09:13,Sin sesión,,,,13,AGUA-01,,21.12,35.25,12.24,1790.0,8.33,24.0
1999-12-31 21:10:23,2025-10-26T16:10:01,Sin sesión,,,,13,AGUA-01,,20.75,35.25,12.32,1733.0,8.72,24.0
1999-12-31 21:10:23,2025-10-26T19:12:26,Sin sesión,,,,13,AGUA-01,,20.06,35.5,12.16,1721.0,9.04,25.0
1999-12-31 21:10:23,2025-10-26T22:14:16,Sin sesión,,,,13,AGUA-01,,18.75,26.75,12.26,1644.0,9.1,24.0
