fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-25 23:20:14,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,14.75,7.0,0.77,15.11,67.47,21.0
2025-10-25 23:50:07,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,14.0,7.0,0.77,14.28,68.27,21.0
2025-10-26 00:19:58,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,13.75,6.98,0.77,14.28,66.54,21.0
2025-10-26 00:49:52,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,13.75,7.0,0.77,14.01,63.68,21.0
2025-10-26 01:19:44,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,13.5,6.99,0.77,13.3,71.56,21.0
2025-10-26 01:49:36,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,12.75,6.99,0.77,12.29,67.93,21.0
2025-10-26 02:19:28,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,11.75,6.99,0.77,11.22,69.44,21.0
2025-10-26 02:49:20,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,11.25,6.98,0.77,11.49,67.11,21.0
2025-10-26 03:19:11,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,11.0,6.98,0.77,11.59,67.72,21.0
2025-10-26 03:49:03,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,11.0,6.97,0.77,11.15,67.85,21.0
2025-10-26 04:18:55,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,10.75,6.99,0.77,10.85,65.97,21.0
2025-10-26 04:48:46,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,10.25,6.96,0.77,10.25,68.96,21.0
2025-10-26 05:18:37,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,9.75,6.97,0.77,9.56,69.59,21.0
2025-10-26 05:48:30,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,9.5,6.97,0.77,9.71,66.92,21.0
2025-10-26 06:18:24,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,9.5,6.96,0.76,9.39,69.38,21.0
2025-10-26 06:48:17,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",0.0,9.5,6.96,0.76,9.85,65.37,21.0
2025-10-26 07:18:09,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.15,9.75,6.95,0.76,9.82,67.25,21.0
2025-10-26 07:48:13,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.15,15.5,6.97,0.76,12.08,60.02,21.0
2025-10-26 08:18:19,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.16,22.5,6.98,0.77,13.45,58.8,21.0
2025-10-26 08:48:22,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.16,27.25,6.99,0.77,16.1,51.96,21.0
2025-10-26 09:18:24,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.16,31.5,7.0,0.77,18.72,52.11,21.0
2025-10-26 09:50:44,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.16,33.0,7.02,0.77,19.19,49.15,24.0
2025-10-26 10:20:39,Sin sesión,,,,14,LVAG-02,"Estación de Nivel de Agua para Línea Base, Batuco",1.16,34.25,7.04,0.77,20.15,47.12,24.0
