fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-23 00:26:37,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,13.75,8.05,0.54,13.18,76.32,30.0
2025-10-23 00:56:28,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,13.0,8.05,0.54,12.18,82.86,30.0
2025-10-23 01:26:21,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,12.75,8.05,0.54,12.72,79.88,30.0
2025-10-23 01:56:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,12.0,8.05,0.54,11.65,85.77,30.0
2025-10-23 02:26:05,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.25,8.05,0.54,11.0,86.92,30.0
2025-10-23 02:55:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.0,8.05,0.54,10.57,87.51,30.0
2025-10-23 03:25:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.0,8.05,0.54,11.9,85.26,30.0
2025-10-23 03:55:44,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.25,8.05,0.54,11.02,87.96,30.0
2025-10-23 04:25:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.0,8.05,0.54,11.02,86.22,30.0
2025-10-23 04:55:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.5,8.05,0.53,10.36,89.65,30.0
2025-10-23 05:25:20,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,10.25,8.05,0.54,10.09,90.37,30.0
2025-10-23 05:55:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,10.0,8.05,0.54,10.01,90.8,30.0
2025-10-23 06:25:05,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,10.0,8.05,0.53,10.04,90.81,30.0
2025-10-23 06:54:58,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,10.0,8.05,0.53,10.17,93.24,30.0
2025-10-23 07:24:52,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,10.5,8.05,0.53,10.68,87.46,30.0
2025-10-23 07:54:46,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,11.25,8.05,0.53,11.22,87.03,30.0
2025-10-23 08:24:42,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,12.25,8.05,0.53,11.11,90.38,30.0
2025-10-23 08:54:37,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,12.75,8.05,0.53,11.87,86.65,30.0
2025-10-23 09:24:32,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,13.75,8.05,0.53,12.34,83.95,30.0
2025-10-23 10:00:54,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,15.5,8.05,0.53,12.9,83.43,30.0
2025-10-23 22:03:56,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,15.0,8.05,0.53,14.28,76.91,30.0
2025-10-23 22:33:49,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,14.5,8.05,0.53,13.84,78.87,30.0
2025-10-23 23:03:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,14.0,8.05,0.53,13.76,75.8,30.0
2025-10-23 23:33:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,14.0,8.05,0.53,13.53,77.09,30.0
2025-10-24 00:03:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,13.75,8.05,0.53,12.86,78.52,30.0
2025-10-24 00:33:18,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,13.5,8.05,0.53,13.2,77.02,30.0
2025-10-24 01:03:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,13.0,8.05,0.53,12.47,80.4,30.0
2025-10-24 01:33:05,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,13.0,8.05,0.53,12.15,80.32,30.0
2025-10-24 02:02:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,12.75,8.05,0.53,12.42,81.88,30.0
2025-10-24 02:32:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,12.25,8.05,0.53,11.86,88.16,30.0
2025-10-24 03:02:43,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.95,12.25,8.05,0.53,11.78,87.71,30.0
2025-10-24 03:32:36,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,12.0,8.05,0.53,11.43,85.16,30.0
2025-10-24 04:02:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,11.5,8.05,0.53,11.36,86.74,30.0
2025-10-24 04:32:19,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,11.25,8.05,0.53,11.0,87.94,30.0
2025-10-24 05:02:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,11.0,8.05,0.53,10.71,91.95,30.0
2025-10-24 05:32:06,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.75,8.05,0.53,10.38,92.43,30.0
2025-10-24 06:02:00,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.75,8.05,0.53,10.61,89.36,30.0
2025-10-24 06:31:52,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.25,8.05,0.53,9.7,93.88,30.0
2025-10-24 07:01:45,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.0,8.05,0.53,9.94,95.56,30.0
2025-10-24 07:31:38,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.0,8.05,0.53,10.14,94.26,30.0
2025-10-24 08:01:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,10.75,8.05,0.53,11.11,93.77,30.0
2025-10-24 08:31:28,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,12.25,8.05,0.53,12.08,87.56,30.0
2025-10-24 09:01:25,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,14.75,8.04,0.53,13.19,84.91,30.0
2025-10-24 09:34:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,17.5,8.05,0.53,13.87,81.62,30.0
2025-10-24 10:05:00,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,19.75,8.05,0.53,15.01,76.24,31.0
2025-10-24 10:34:55,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,20.0,8.05,0.53,15.02,77.54,31.0
2025-10-24 11:04:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,22.0,8.05,0.53,16.41,70.58,31.0
2025-10-24 11:34:48,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,24.25,8.05,0.53,17.27,69.19,31.0
2025-10-24 12:04:38,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,23.0,8.05,0.53,17.39,68.99,31.0
2025-10-24 12:34:34,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,25.25,8.05,0.53,18.22,65.72,31.0
2025-10-24 13:04:29,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,27.5,8.05,0.53,18.59,62.71,31.0
2025-10-24 13:34:22,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,27.75,8.05,0.53,18.61,64.58,31.0
2025-10-24 14:04:14,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,27.0,8.05,0.53,19.01,64.93,31.0
2025-10-24 14:34:07,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,27.0,8.05,0.53,19.13,60.7,31.0
2025-10-24 15:03:59,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,26.25,8.05,0.53,19.39,56.8,31.0
