fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-25 02:23:08,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.75,7.85,1.06,11.9,59.67,31.0
2025-10-25 02:53:02,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.75,7.87,1.06,11.23,69.57,31.0
2025-10-25 03:22:55,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.25,7.88,1.07,10.16,69.64,31.0
2025-10-25 03:52:47,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,10.25,7.88,1.06,9.67,70.14,31.0
2025-10-25 04:22:42,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,10.0,7.87,1.07,9.97,70.92,31.0
2025-10-25 04:52:36,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,9.75,7.88,1.07,9.44,72.49,31.0
2025-10-25 05:22:29,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,9.0,7.87,1.07,8.52,78.57,31.0
2025-10-25 05:52:22,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,8.25,7.86,1.07,8.05,79.02,31.0
2025-10-25 06:22:18,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,8.0,7.86,1.07,8.19,79.11,31.0
2025-10-25 06:52:12,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,7.75,7.85,1.07,7.39,81.72,31.0
2025-10-25 07:22:05,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,7.25,7.85,1.07,8.82,74.43,31.0
2025-10-25 07:52:07,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,10.75,7.87,1.06,11.93,68.04,31.0
2025-10-25 08:22:14,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,16.25,7.89,1.06,14.85,58.3,31.0
2025-10-25 08:52:19,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,20.75,7.88,1.07,16.59,50.98,31.0
2025-10-25 09:22:19,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,22.75,7.91,1.07,15.26,54.95,31.0
2025-10-25 09:54:33,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,23.25,7.92,1.07,16.07,55.79,25.0
2025-10-25 10:24:27,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,23.5,7.91,1.07,16.72,52.89,25.0
2025-10-25 10:54:26,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,24.25,7.89,1.07,17.03,50.78,25.0
2025-10-25 11:24:19,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,24.25,7.91,1.07,18.94,48.43,25.0
2025-10-25 11:54:16,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,25.0,7.89,1.08,21.25,41.66,25.0
2025-10-25 12:24:11,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,25.25,7.89,1.08,20.55,44.25,25.0
2025-10-25 12:54:06,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,25.5,7.91,1.08,22.32,39.23,25.0
2025-10-25 13:24:03,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,27.0,7.88,1.08,21.56,41.49,25.0
2025-10-25 13:54:01,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,28.0,7.89,1.08,22.3,36.69,25.0
2025-10-25 14:23:57,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,28.75,7.92,1.08,23.56,37.22,25.0
2025-10-25 14:53:53,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,29.5,7.9,1.08,23.19,35.34,25.0
2025-10-25 15:23:51,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,30.75,7.91,1.09,23.24,35.85,25.0
2025-10-25 15:53:47,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,31.5,7.91,1.09,23.53,36.64,25.0
2025-10-25 16:23:47,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,33.25,7.91,1.09,24.53,36.68,25.0
2025-10-25 16:53:45,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,34.5,7.89,1.08,24.26,30.74,25.0
2025-10-25 17:23:45,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.5,7.9,1.08,24.61,31.91,25.0
2025-10-25 17:53:40,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.75,7.92,1.09,24.65,30.22,25.0
2025-10-25 18:23:36,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,35.75,7.9,1.09,23.99,32.3,25.0
2025-10-25 18:53:21,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,30.25,7.91,1.08,22.54,35.94,25.0
2025-10-25 19:23:18,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,30.25,7.9,1.09,22.77,36.9,25.0
2025-10-25 19:53:10,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,28.0,7.9,1.09,19.72,42.47,25.0
2025-10-25 20:22:52,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,22.0,7.9,1.1,18.03,46.51,25.0
2025-10-25 20:52:39,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,19.0,7.87,1.09,17.49,46.75,25.0
2025-10-25 21:22:31,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.75,7.91,1.09,17.36,46.73,25.0
2025-10-26 22:04:26,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,19.25,7.92,1.11,18.59,61.57,31.0
2025-10-26 22:34:20,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,18.75,7.91,1.11,18.43,60.43,31.0
2025-10-26 23:04:13,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.75,7.91,1.11,17.38,64.7,31.0
2025-10-26 23:34:07,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.5,7.9,1.11,17.27,65.29,31.0
2025-10-27 00:03:59,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,16.5,7.88,1.11,15.82,70.86,31.0
2025-10-27 00:33:51,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,15.75,7.89,1.11,15.35,71.72,31.0
2025-10-27 01:03:44,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,14.75,7.9,1.11,14.83,74.04,31.0
2025-10-27 01:33:37,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,14.5,7.89,1.11,14.02,79.32,31.0
2025-10-27 02:03:30,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,13.75,7.87,1.11,13.23,77.75,31.0
2025-10-27 02:33:22,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,13.0,7.88,1.11,12.93,79.25,31.0
2025-10-27 03:03:15,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.75,7.89,1.11,12.96,79.04,31.0
2025-10-27 03:33:09,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.9,1.12,12.65,78.69,31.0
2025-10-27 04:03:04,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.89,1.11,12.71,83.27,31.0
2025-10-27 04:33:01,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.87,1.11,12.6,84.22,31.0
2025-10-27 05:02:56,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.86,1.11,12.82,80.97,31.0
2025-10-27 05:32:50,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.5,7.89,1.11,12.29,81.58,31.0
2025-10-27 06:02:44,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.0,7.88,1.11,11.94,81.26,31.0
2025-10-27 06:32:37,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.75,7.87,1.11,11.51,85.52,31.0
2025-10-27 07:02:29,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,11.75,7.89,1.11,12.45,84.82,31.0
2025-10-27 07:32:26,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,12.25,7.86,1.11,12.23,82.68,31.0
2025-10-27 08:02:21,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,13.0,7.86,1.1,13.18,79.83,31.0
2025-10-27 08:32:21,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,15.0,7.86,1.1,15.19,72.85,31.0
2025-10-27 09:02:22,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,17.75,7.91,1.1,16.21,66.36,31.0
2025-10-27 09:34:30,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,21.0,7.9,1.1,18.33,59.5,25.0
2025-10-27 10:05:46,Sin sesión,,,,14,LVAG-03,"Estación de Nivel de Agua para Línea Base, Caren",0.0,23.25,7.91,1.1,19.1,58.76,25.0
