fecha,id_sesion,sesion_descripcion,fecha_inicio,ubicacion,id_proyecto,codigo_interno,dispositivo_descripcion,A01NYUB [Distancia (m)],DS3231 [Grados celcius (°C)],Divisor de Voltaje [Voltaje (V)],LIQ-136 [Profundidad (m)],SHT40 [Grados celcius (°C)],SHT40 [Humedad (%)],SIM7600G [Intensidad señal telefónica (Adimensional)]
2025-10-26 01:38:00,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,10.25,8.05,0.52,9.81,81.18,31.0
2025-10-26 02:07:51,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,9.75,8.02,0.52,9.73,87.63,31.0
2025-10-26 02:37:44,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,9.5,8.04,0.52,9.09,82.28,31.0
2025-10-26 03:07:35,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,9.0,8.04,0.52,9.39,84.31,31.0
2025-10-26 03:37:28,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,9.0,8.03,0.52,9.21,88.0,31.0
2025-10-26 04:07:19,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,8.5,8.05,0.52,8.59,88.01,31.0
2025-10-26 04:37:10,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,8.25,8.04,0.52,8.71,91.4,31.0
2025-10-26 05:07:03,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,8.0,8.03,0.52,7.71,91.13,31.0
2025-10-26 05:36:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,7.75,8.04,0.52,7.88,88.6,31.0
2025-10-26 06:06:50,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,7.25,8.03,0.52,7.14,92.21,31.0
2025-10-26 06:36:40,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,7.0,8.03,0.52,7.42,94.77,31.0
2025-10-26 07:06:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,7.0,8.04,0.52,6.81,92.91,31.0
2025-10-26 07:36:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,8.75,8.03,0.52,9.88,84.7,31.0
2025-10-26 08:06:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,13.75,8.04,0.52,13.43,76.18,31.0
2025-10-26 08:36:32,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.98,17.75,8.03,0.52,13.02,78.27,31.0
2025-10-26 09:06:31,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,20.0,8.05,0.52,13.91,71.94,31.0
2025-10-26 09:38:45,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,20.5,8.05,0.52,14.31,67.02,31.0
2025-10-26 10:08:36,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,19.5,8.05,0.52,14.89,66.02,31.0
2025-10-26 10:38:29,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,20.0,8.05,0.52,16.05,58.65,31.0
2025-10-26 11:08:27,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,22.25,8.05,0.52,16.78,56.73,31.0
2025-10-26 11:38:21,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,23.5,8.05,0.52,18.53,51.42,31.0
2025-10-26 12:08:17,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,25.5,8.05,0.52,20.29,45.01,31.0
2025-10-26 12:38:12,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,26.75,8.05,0.52,20.8,49.11,31.0
2025-10-26 13:08:07,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,28.25,8.05,0.52,22.14,48.06,31.0
2025-10-26 13:38:01,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,29.25,8.05,0.52,23.12,42.75,31.0
2025-10-26 14:07:57,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.96,30.0,8.05,0.52,23.59,45.97,31.0
2025-10-26 14:37:52,Sin sesión,,,,14,LVAG-05,"Estación de Nivel de Agua para Línea Base, Aculeo",0.97,31.5,8.05,0.52,25.01,35.78,31.0
